id,gene,cell,method,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,match,PPH4,ldcheck
"STAG3L5P-PVRIG2P-PILRB_T cell, CD4, TH17",STAG3L5P-PVRIG2P-PILRB,"T cell, CD4, TH17",Wald_ratio,1,0.003134257,0.000812721,NA,NA,0.000115023,NA,NA,NA,NA,NA,NA,NA,0.001541323,0.00472719,1.003139174,1.001542512,1.004738381,0.018973055,Breast cancer,ieu-b-4810,"STAG3L5P-PVRIG2P-PILRB_T cell, CD4, TH17_Breast cancer_ieu-b-4810",0.242445498,0.98617015
"KCNN4_Monocyte, classical",KCNN4,"Monocyte, classical",Wald_ratio,1,0.002847659,0.000703432,NA,NA,5.16E-05,NA,NA,NA,NA,NA,NA,NA,0.001468932,0.004226385,1.002851717,1.001470012,1.004235329,0.016379172,Breast cancer,ieu-b-4810,"KCNN4_Monocyte, classical_Breast cancer_ieu-b-4810",0.584813209,0.91391688
"KCNN4_Monocyte, non-classical",KCNN4,"Monocyte, non-classical",Wald_ratio,1,0.002769182,0.000684047,NA,NA,5.16E-05,NA,NA,NA,NA,NA,NA,NA,0.001428451,0.004109914,1.00277302,1.001429472,1.004118371,0.016379172,Breast cancer,ieu-b-4810,"KCNN4_Monocyte, non-classical_Breast cancer_ieu-b-4810",0.584801497,0.91391688
"SLC22A5_T cell, CD4, TH17",SLC22A5,"T cell, CD4, TH17",Wald_ratio,1,-0.004026032,0.000831679,NA,NA,1.29E-06,NA,NA,NA,NA,NA,NA,NA,-0.005656124,-0.00239594,0.995982062,0.994359842,0.997606928,0.001228231,Breast cancer,ieu-b-4810,"SLC22A5_T cell, CD4, TH17_Breast cancer_ieu-b-4810",0.679279073,0.995890231
"SLC22A5_NK cell, CD56dim CD16+",SLC22A5,"NK cell, CD56dim CD16+",Wald_ratio,1,-0.003300942,0.000681894,NA,NA,1.29E-06,NA,NA,NA,NA,NA,NA,NA,-0.004637454,-0.001964431,0.9967045,0.995373282,0.998037497,0.001228231,Breast cancer,ieu-b-4810,"SLC22A5_NK cell, CD56dim CD16+_Breast cancer_ieu-b-4810",0.841543754,0.995890231
"SLC22A5_Monocyte, non-classical",SLC22A5,"Monocyte, non-classical",Wald_ratio,1,-0.003146876,0.000650067,NA,NA,1.29E-06,NA,NA,NA,NA,NA,NA,NA,-0.004421009,-0.001872744,0.99685807,0.99558875,0.998129008,0.001228231,Breast cancer,ieu-b-4810,"SLC22A5_Monocyte, non-classical_Breast cancer_ieu-b-4810",0.892834302,0.995890231
"SLC22A5_T cell, CD4, naive activated",SLC22A5,"T cell, CD4, naive activated",Wald_ratio,1,-0.003161659,0.000653121,NA,NA,1.29E-06,NA,NA,NA,NA,NA,NA,NA,-0.004441777,-0.001881542,0.996843333,0.995568073,0.998120227,0.001228231,Breast cancer,ieu-b-4810,"SLC22A5_T cell, CD4, naive activated_Breast cancer_ieu-b-4810",0.782447893,0.995890231
"SLC22A5_T cell, CD4, naive TREG",SLC22A5,"T cell, CD4, naive TREG",Wald_ratio,1,-0.004001135,0.000826536,NA,NA,1.29E-06,NA,NA,NA,NA,NA,NA,NA,-0.005621146,-0.002381124,0.996006859,0.994394623,0.997621709,0.001228231,Breast cancer,ieu-b-4810,"SLC22A5_T cell, CD4, naive TREG_Breast cancer_ieu-b-4810",0.862406565,0.995890231
"RCCD1_T cell, CD4, TH1",RCCD1,"T cell, CD4, TH1",Wald_ratio,1,-0.005024854,0.00119345,NA,NA,2.55E-05,NA,NA,NA,NA,NA,NA,NA,-0.007364017,-0.002685692,0.994987749,0.992663031,0.997317912,0.011743859,Breast cancer,ieu-b-4810,"RCCD1_T cell, CD4, TH1_Breast cancer_ieu-b-4810",0.591896834,1
"PRC1-AS1_T cell, CD8, naive",PRC1-AS1,"T cell, CD8, naive",Wald_ratio,1,0.004888024,0.001160952,NA,NA,2.55E-05,NA,NA,NA,NA,NA,NA,NA,0.002612559,0.00716349,1.00489999,1.002615974,1.007189209,0.011743859,Breast cancer,ieu-b-4810,"PRC1-AS1_T cell, CD8, naive_Breast cancer_ieu-b-4810",0.799857321,1
"PRC1-AS1_Monocyte, classical",PRC1-AS1,"Monocyte, classical",Wald_ratio,1,0.004782714,0.00113594,NA,NA,2.55E-05,NA,NA,NA,NA,NA,NA,NA,0.002556272,0.007009155,1.004794169,1.002559542,1.007033777,0.011743859,Breast cancer,ieu-b-4810,"PRC1-AS1_Monocyte, classical_Breast cancer_ieu-b-4810",0.733127547,1
"CASP8_T cell, CD4, TH1",CASP8,"T cell, CD4, TH1",Wald_ratio,1,-0.002795409,0.000731668,NA,NA,0.000133129,NA,NA,NA,NA,NA,NA,NA,-0.004229479,-0.00136134,0.997208494,0.995779453,0.998639586,0.019271967,Breast cancer,ieu-b-4810,"CASP8_T cell, CD4, TH1_Breast cancer_ieu-b-4810",0.15045595,1
"CASP8_T cell, CD8, naive",CASP8,"T cell, CD8, naive",Wald_ratio,1,-0.002726206,0.000713555,NA,NA,0.000133129,NA,NA,NA,NA,NA,NA,NA,-0.004124774,-0.001327638,0.997277507,0.995883722,0.998673242,0.019271967,Breast cancer,ieu-b-4810,"CASP8_T cell, CD8, naive_Breast cancer_ieu-b-4810",0.314418586,1
"GAPDHP37_T cell, CD8, naive",GAPDHP37,"T cell, CD8, naive",Wald_ratio,1,-0.003119286,0.000913835,NA,NA,0.000641577,NA,NA,NA,NA,NA,NA,NA,-0.004910403,-0.001328168,0.996885574,0.995101633,0.998672713,0.047181088,Breast cancer,ieu-b-4810,"GAPDHP37_T cell, CD8, naive_Breast cancer_ieu-b-4810",0.020410039,1
"PILRA_T cell, CD4, naive TREG",PILRA,"T cell, CD4, naive TREG",Wald_ratio,1,0.002692982,0.000729291,NA,NA,0.000221972,NA,NA,NA,NA,NA,NA,NA,0.001263571,0.004122393,1.002696611,1.00126437,1.004130901,0.023592908,Breast cancer,ieu-b-4810,"PILRA_T cell, CD4, naive TREG_Breast cancer_ieu-b-4810",0.041636596,0.993123861
"PILRA_NK cell, CD56dim CD16+",PILRA,"NK cell, CD56dim CD16+",Wald_ratio,1,0.002694785,0.00072978,NA,NA,0.000221972,NA,NA,NA,NA,NA,NA,NA,0.001264417,0.004125153,1.002698419,1.001265217,1.004133673,0.023592908,Breast cancer,ieu-b-4810,"PILRA_NK cell, CD56dim CD16+_Breast cancer_ieu-b-4810",0.179831273,0.993123861
PILRA_B_CELL_NAIVE,PILRA,B,Wald_ratio,1,0.002795621,0.000757087,NA,NA,0.000221972,NA,NA,NA,NA,NA,NA,NA,0.00131173,0.004279513,1.002799533,1.001312591,1.004288683,0.023592908,Breast cancer,ieu-b-4810,PILRA_B_CELL_NAIVE_Breast cancer_ieu-b-4810,0.277813615,0.993123861
"PILRA_T cell, CD4, memory TREG",PILRA,"T cell, CD4, memory TREG",Wald_ratio,1,0.002976113,0.000805967,NA,NA,0.000221972,NA,NA,NA,NA,NA,NA,NA,0.001396419,0.004555808,1.002980546,1.001397394,1.004566201,0.023592908,Breast cancer,ieu-b-4810,"PILRA_T cell, CD4, memory TREG_Breast cancer_ieu-b-4810",0.214690665,0.993123861
"RCCD1_T cell, CD4, TH17",RCCD1,"T cell, CD4, TH17",Wald_ratio,1,-0.004902271,0.001160948,NA,NA,2.41E-05,NA,NA,NA,NA,NA,NA,NA,-0.00717773,-0.002626812,0.995109725,0.992847968,0.997376635,0.011743859,Breast cancer,ieu-b-4810,"RCCD1_T cell, CD4, TH17_Breast cancer_ieu-b-4810",0.757022408,1
"CMSS1_Monocyte, classical",CMSS1,"Monocyte, classical",Wald_ratio,1,0.005413063,0.000982843,NA,NA,3.64E-08,NA,NA,NA,NA,NA,NA,NA,0.00348669,0.007339436,1.00542774,1.003492776,1.007366435,0.000276528,Breast cancer,ieu-b-4810,"CMSS1_Monocyte, classical_Breast cancer_ieu-b-4810",0.986368958,0.996000008
"CRHR1-IT1_Monocyte, non-classical",CRHR1-IT1,"Monocyte, non-classical",Wald_ratio,1,-0.002850186,0.00076409,NA,NA,0.000191349,NA,NA,NA,NA,NA,NA,NA,-0.004347801,-0.00135257,0.997153872,0.995661637,0.998648344,0.021229927,Breast cancer,ieu-b-4810,"CRHR1-IT1_Monocyte, non-classical_Breast cancer_ieu-b-4810",0.138091818,0.83494089
"RPS23_T cell, CD4, naive activated",RPS23,"T cell, CD4, naive activated",Wald_ratio,1,0.003142614,0.000860587,NA,NA,0.000260501,NA,NA,NA,NA,NA,NA,NA,0.001455863,0.004829364,1.003147557,1.001456923,1.004841045,0.02459384,Breast cancer,ieu-b-4810,"RPS23_T cell, CD4, naive activated_Breast cancer_ieu-b-4810",0.015538811,0.994956376
"PILRA_T cell, CD8, naive",PILRA,"T cell, CD8, naive",Wald_ratio,1,0.002506879,0.000682641,NA,NA,0.000240357,NA,NA,NA,NA,NA,NA,NA,0.001168902,0.003844856,1.002510024,1.001169585,1.003852257,0.023603892,Breast cancer,ieu-b-4810,"PILRA_T cell, CD8, naive_Breast cancer_ieu-b-4810",0.228485798,0.97990003
"PILRA_T cell, CD4, naive",PILRA,"T cell, CD4, naive",Wald_ratio,1,0.00272411,0.000710244,NA,NA,0.00012533,NA,NA,NA,NA,NA,NA,NA,0.001332032,0.004116188,1.002727824,1.00133292,1.004124671,0.018973055,Breast cancer,ieu-b-4810,"PILRA_T cell, CD4, naive_Breast cancer_ieu-b-4810",0.261300306,1
"ARL17A_T cell, CD4, naive activated",ARL17A,"T cell, CD4, naive activated",Wald_ratio,1,-0.003174501,0.000844034,NA,NA,0.000169164,NA,NA,NA,NA,NA,NA,NA,-0.004828808,-0.001520195,0.996830532,0.995182832,0.99848096,0.020088188,Breast cancer,ieu-b-4810,"ARL17A_T cell, CD4, naive activated_Breast cancer_ieu-b-4810",0.246026771,0.941012523
"ARL17A_T cell, CD4, TH2",ARL17A,"T cell, CD4, TH2",Wald_ratio,1,-0.00361656,0.000961568,NA,NA,0.000169164,NA,NA,NA,NA,NA,NA,NA,-0.005501234,-0.001731886,0.996389972,0.99451387,0.998269612,0.020088188,Breast cancer,ieu-b-4810,"ARL17A_T cell, CD4, TH2_Breast cancer_ieu-b-4810",0.208438066,0.941012523
RP11-707O23.5_B_CELL_NAIVE,RP11-707O23.5,B,Wald_ratio,1,-0.003209842,0.000837005,NA,NA,0.000125607,NA,NA,NA,NA,NA,NA,NA,-0.004850371,-0.001569313,0.996795304,0.995161373,0.998431918,0.018973055,Breast cancer,ieu-b-4810,RP11-707O23.5_B_CELL_NAIVE_Breast cancer_ieu-b-4810,0.229075994,0.937238908
"OCEL1_T cell, CD8, naive",OCEL1,"T cell, CD8, naive",Wald_ratio,1,-0.003164176,0.000910646,NA,NA,0.000511518,NA,NA,NA,NA,NA,NA,NA,-0.004949042,-0.00137931,0.996840825,0.995063185,0.99862164,0.040495203,Breast cancer,ieu-b-4810,"OCEL1_T cell, CD8, naive_Breast cancer_ieu-b-4810",0.146296065,1
"OCEL1_Monocyte, non-classical",OCEL1,"Monocyte, non-classical",Wald_ratio,1,0.003285765,0.000945639,NA,NA,0.000511518,NA,NA,NA,NA,NA,NA,NA,0.001432313,0.005139217,1.003291169,1.001433339,1.005152445,0.040495203,Breast cancer,ieu-b-4810,"OCEL1_Monocyte, non-classical_Breast cancer_ieu-b-4810",0.158299388,1
"OCEL1_T cell, CD4, naive",OCEL1,"T cell, CD4, naive",Wald_ratio,1,-0.003476973,0.001000668,NA,NA,0.000511518,NA,NA,NA,NA,NA,NA,NA,-0.005438283,-0.001515663,0.996529064,0.994576477,0.998485485,0.040495203,Breast cancer,ieu-b-4810,"OCEL1_T cell, CD4, naive_Breast cancer_ieu-b-4810",0.001404129,1
"OCEL1_T cell, CD4, naive TREG",OCEL1,"T cell, CD4, naive TREG",Wald_ratio,1,-0.003230718,0.000929797,NA,NA,0.000511518,NA,NA,NA,NA,NA,NA,NA,-0.00505312,-0.001408317,0.996774495,0.994959626,0.998592674,0.040495203,Breast cancer,ieu-b-4810,"OCEL1_T cell, CD4, naive TREG_Breast cancer_ieu-b-4810",0.159893758,1
"OCEL1_T cell, CD4, TFH",OCEL1,"T cell, CD4, TFH",Wald_ratio,1,-0.002971874,0.000855302,NA,NA,0.000511518,NA,NA,NA,NA,NA,NA,NA,-0.004648265,-0.001295483,0.997032537,0.995362521,0.998705355,0.040495203,Breast cancer,ieu-b-4810,"OCEL1_T cell, CD4, TFH_Breast cancer_ieu-b-4810",0.159462457,1
"RP11-707O23.5_T cell, CD4, naive activated",RP11-707O23.5,"T cell, CD4, naive activated",Wald_ratio,1,-0.003628755,0.000912325,NA,NA,6.96E-05,NA,NA,NA,NA,NA,NA,NA,-0.005416913,-0.001840598,0.996377821,0.994597732,0.998161095,0.016379172,Breast cancer,ieu-b-4810,"RP11-707O23.5_T cell, CD4, naive activated_Breast cancer_ieu-b-4810",0.208753583,0.949504081
"LRRC37A4P_T cell, CD4, TH1",LRRC37A4P,"T cell, CD4, TH1",Wald_ratio,1,0.002946658,0.000737783,NA,NA,6.50E-05,NA,NA,NA,NA,NA,NA,NA,0.001500602,0.004392713,1.002951003,1.001501729,1.004402375,0.016379172,Breast cancer,ieu-b-4810,"LRRC37A4P_T cell, CD4, TH1_Breast cancer_ieu-b-4810",0.23012524,1
"RP11-259G18.3_T cell, CD4, TH17",RP11-259G18.3,"T cell, CD4, TH17",Wald_ratio,1,-0.002647025,0.00070327,NA,NA,0.000167295,NA,NA,NA,NA,NA,NA,NA,-0.004025434,-0.001268617,0.997356475,0.995982657,0.998732188,0.020088188,Breast cancer,ieu-b-4810,"RP11-259G18.3_T cell, CD4, TH17_Breast cancer_ieu-b-4810",0.227365288,0.876697015
"RP11-707O23.5_T cell, CD4, TH17",RP11-707O23.5,"T cell, CD4, TH17",Wald_ratio,1,-0.002506039,0.000665812,NA,NA,0.000167295,NA,NA,NA,NA,NA,NA,NA,-0.003811031,-0.001201047,0.997497098,0.996196222,0.998799674,0.020088188,Breast cancer,ieu-b-4810,"RP11-707O23.5_T cell, CD4, TH17_Breast cancer_ieu-b-4810",0.227365288,0.876697015
"RP11-707O23.5_T cell, CD8, naive activated",RP11-707O23.5,"T cell, CD8, naive activated",Wald_ratio,1,-0.002404822,0.00063892,NA,NA,0.000167295,NA,NA,NA,NA,NA,NA,NA,-0.003657106,-0.001152538,0.997598067,0.996349573,0.998848126,0.020088188,Breast cancer,ieu-b-4810,"RP11-707O23.5_T cell, CD8, naive activated_Breast cancer_ieu-b-4810",0.065328381,0.876697015
"RP11-707O23.5_T cell, CD4, TH2",RP11-707O23.5,"T cell, CD4, TH2",Wald_ratio,1,-0.002329712,0.000618965,NA,NA,0.000167295,NA,NA,NA,NA,NA,NA,NA,-0.003542884,-0.001116541,0.997672999,0.996463385,0.998884082,0.020088188,Breast cancer,ieu-b-4810,"RP11-707O23.5_T cell, CD4, TH2_Breast cancer_ieu-b-4810",0.19379544,0.876697015
"DND1P1_T cell, CD4, TFH",DND1P1,"T cell, CD4, TFH",Wald_ratio,1,-0.0022324,0.000593111,NA,NA,0.000167295,NA,NA,NA,NA,NA,NA,NA,-0.003394898,-0.001069903,0.997770089,0.996610858,0.998930669,0.020088188,Breast cancer,ieu-b-4810,"DND1P1_T cell, CD4, TFH_Breast cancer_ieu-b-4810",0.210110133,0.876697015
"RP11-707O23.5_T cell, CD4, TH1",RP11-707O23.5,"T cell, CD4, TH1",Wald_ratio,1,-0.002212774,0.000587897,NA,NA,0.000167295,NA,NA,NA,NA,NA,NA,NA,-0.003365052,-0.001060497,0.997789672,0.996640604,0.998940065,0.020088188,Breast cancer,ieu-b-4810,"RP11-707O23.5_T cell, CD4, TH1_Breast cancer_ieu-b-4810",0.255558873,0.876697015
"KANSL1-AS1_T cell, CD8, naive activated",KANSL1-AS1,"T cell, CD8, naive activated",Wald_ratio,1,-0.002397339,0.000636932,NA,NA,0.000167295,NA,NA,NA,NA,NA,NA,NA,-0.003645726,-0.001148952,0.997605532,0.996360911,0.998851708,0.020088188,Breast cancer,ieu-b-4810,"KANSL1-AS1_T cell, CD8, naive activated_Breast cancer_ieu-b-4810",0.065328381,0.876697015
"RP11-707O23.5_T cell, CD4, TFH",RP11-707O23.5,"T cell, CD4, TFH",Wald_ratio,1,-0.002189975,0.000581839,NA,NA,0.000167295,NA,NA,NA,NA,NA,NA,NA,-0.003330381,-0.00104957,0.997812421,0.996675159,0.99895098,0.020088188,Breast cancer,ieu-b-4810,"RP11-707O23.5_T cell, CD4, TFH_Breast cancer_ieu-b-4810",0.210110133,0.876697015
"RP11-707O23.5_T cell, CD8, naive",RP11-707O23.5,"T cell, CD8, naive",Wald_ratio,1,-0.002484187,0.000660006,NA,NA,0.000167295,NA,NA,NA,NA,NA,NA,NA,-0.003777799,-0.001190574,0.997518896,0.996229328,0.998810134,0.020088188,Breast cancer,ieu-b-4810,"RP11-707O23.5_T cell, CD8, naive_Breast cancer_ieu-b-4810",0.153035888,0.876697015
"LRRC37A4P_T cell, CD4, memory TREG",LRRC37A4P,"T cell, CD4, memory TREG",Wald_ratio,1,0.00277777,0.000719506,NA,NA,0.000113079,NA,NA,NA,NA,NA,NA,NA,0.001367539,0.004188001,1.002781632,1.001368474,1.004196783,0.018973055,Breast cancer,ieu-b-4810,"LRRC37A4P_T cell, CD4, memory TREG_Breast cancer_ieu-b-4810",0.254833091,0.979632776
"LRRC37A4P_T cell, CD4, naive TREG",LRRC37A4P,"T cell, CD4, naive TREG",Wald_ratio,1,0.002936739,0.000782686,NA,NA,0.00017534,NA,NA,NA,NA,NA,NA,NA,0.001402674,0.004470804,1.002941055,1.001403658,1.004480813,0.020451334,Breast cancer,ieu-b-4810,"LRRC37A4P_T cell, CD4, naive TREG_Breast cancer_ieu-b-4810",0.257082952,0.929864847
"LRRC37A4P_T cell, CD4, naive",LRRC37A4P,"T cell, CD4, naive",Wald_ratio,1,0.002802229,0.000746837,NA,NA,0.00017534,NA,NA,NA,NA,NA,NA,NA,0.001338428,0.00426603,1.002806158,1.001339324,1.004275142,0.020451334,Breast cancer,ieu-b-4810,"LRRC37A4P_T cell, CD4, naive_Breast cancer_ieu-b-4810",0.268399683,0.929864847
"STAG3L5P_T cell, CD8, naive activated",STAG3L5P,"T cell, CD8, naive activated",Wald_ratio,1,0.003182377,0.000850581,NA,NA,0.000182986,NA,NA,NA,NA,NA,NA,NA,0.001515239,0.004849515,1.003187446,1.001516387,1.004861293,0.020451334,Breast cancer,ieu-b-4810,"STAG3L5P_T cell, CD8, naive activated_Breast cancer_ieu-b-4810",0.233550155,0.993137813
STAG3L5P_B_CELL_NAIVE,STAG3L5P,B,Wald_ratio,1,0.003257376,0.000870626,NA,NA,0.000182986,NA,NA,NA,NA,NA,NA,NA,0.001550948,0.004963803,1.003262687,1.001552152,1.004976143,0.020451334,Breast cancer,ieu-b-4810,STAG3L5P_B_CELL_NAIVE_Breast cancer_ieu-b-4810,0.277813615,0.993137813
"STAG3L5P_T cell, CD4, naive activated",STAG3L5P,"T cell, CD4, naive activated",Wald_ratio,1,0.003150853,0.000842155,NA,NA,0.000182986,NA,NA,NA,NA,NA,NA,NA,0.001500229,0.004801476,1.003155822,1.001501355,1.004813022,0.020451334,Breast cancer,ieu-b-4810,"STAG3L5P_T cell, CD4, naive activated_Breast cancer_ieu-b-4810",0.250524915,0.993137813
"ZBTB38_Monocyte, non-classical",ZBTB38,"Monocyte, non-classical",Wald_ratio,1,0.004568547,0.000968826,NA,NA,2.41E-06,NA,NA,NA,NA,NA,NA,NA,0.002669649,0.006467445,1.004578999,1.002673215,1.006488404,0.002155334,Breast cancer,ieu-b-4810,"ZBTB38_Monocyte, non-classical_Breast cancer_ieu-b-4810",0.935118358,0.995780461
"CRHR1-IT1_NK cell, CD56dim CD16+",CRHR1-IT1,"NK cell, CD56dim CD16+",Wald_ratio,1,-0.00330521,0.000829566,NA,NA,6.77E-05,NA,NA,NA,NA,NA,NA,NA,-0.00493116,-0.001679261,0.996700246,0.995080979,0.998322148,0.016379172,Breast cancer,ieu-b-4810,"CRHR1-IT1_NK cell, CD56dim CD16+_Breast cancer_ieu-b-4810",0.255983989,0.994687076
"CYBRD1_Monocyte, non-classical",CYBRD1,"Monocyte, non-classical",Wald_ratio,1,0.002888559,0.000709942,NA,NA,4.73E-05,NA,NA,NA,NA,NA,NA,NA,0.001497073,0.004280044,1.002892734,1.001498194,1.004289217,0.016379172,Breast cancer,ieu-b-4810,"CYBRD1_Monocyte, non-classical_Breast cancer_ieu-b-4810",0.53400461,0.987620552
"KANSL1-AS1_Monocyte, classical",KANSL1-AS1,"Monocyte, classical",Wald_ratio,1,-0.002874465,0.000764261,NA,NA,0.000169164,NA,NA,NA,NA,NA,NA,NA,-0.004372416,-0.001376514,0.997129662,0.995637129,0.998624433,0.020088188,Breast cancer,ieu-b-4810,"KANSL1-AS1_Monocyte, classical_Breast cancer_ieu-b-4810",0.272692411,0.929619932
"RP11-259G18.3_T cell, CD4, TH1 TH17",RP11-259G18.3,"T cell, CD4, TH1 TH17",Wald_ratio,1,-0.00309539,0.000823,NA,NA,0.000169164,NA,NA,NA,NA,NA,NA,NA,-0.00470847,-0.00148231,0.996909396,0.995302598,0.998518788,0.020088188,Breast cancer,ieu-b-4810,"RP11-259G18.3_T cell, CD4, TH1 TH17_Breast cancer_ieu-b-4810",0.230999999,0.929619932
"RP11-707O23.5_T cell, CD4, memory TREG",RP11-707O23.5,"T cell, CD4, memory TREG",Wald_ratio,1,-0.002848499,0.000757357,NA,NA,0.000169164,NA,NA,NA,NA,NA,NA,NA,-0.004332918,-0.00136408,0.997155554,0.995676456,0.99863685,0.020088188,Breast cancer,ieu-b-4810,"RP11-707O23.5_T cell, CD4, memory TREG_Breast cancer_ieu-b-4810",0.285576222,0.929619932
"KANSL1-AS1_T cell, CD4, TFH",KANSL1-AS1,"T cell, CD4, TFH",Wald_ratio,1,-0.002936904,0.000780862,NA,NA,0.000169164,NA,NA,NA,NA,NA,NA,NA,-0.004467393,-0.001406415,0.997067404,0.995542571,0.998594574,0.020088188,Breast cancer,ieu-b-4810,"KANSL1-AS1_T cell, CD4, TFH_Breast cancer_ieu-b-4810",0.225643254,0.929619932
"RP11-259G18.3_T cell, CD4, memory TREG",RP11-259G18.3,"T cell, CD4, memory TREG",Wald_ratio,1,-0.00276362,0.000734789,NA,NA,0.000169164,NA,NA,NA,NA,NA,NA,NA,-0.004203806,-0.001323433,0.997240196,0.995805017,0.998677442,0.020088188,Breast cancer,ieu-b-4810,"RP11-259G18.3_T cell, CD4, memory TREG_Breast cancer_ieu-b-4810",0.285576222,0.929619932
KANSL1-AS1_B_CELL_NAIVE,KANSL1-AS1,B,Wald_ratio,1,-0.003380379,0.000898773,NA,NA,0.000169164,NA,NA,NA,NA,NA,NA,NA,-0.005141973,-0.001618785,0.996625328,0.994871224,0.998382525,0.020088188,Breast cancer,ieu-b-4810,KANSL1-AS1_B_CELL_NAIVE_Breast cancer_ieu-b-4810,0.243944097,0.929619932
"KANSL1-AS1_NK cell, CD56dim CD16+",KANSL1-AS1,"NK cell, CD56dim CD16+",Wald_ratio,1,-0.002986316,0.000793999,NA,NA,0.000169164,NA,NA,NA,NA,NA,NA,NA,-0.004542555,-0.001430077,0.997018138,0.995467747,0.998570945,0.020088188,Breast cancer,ieu-b-4810,"KANSL1-AS1_NK cell, CD56dim CD16+_Breast cancer_ieu-b-4810",0.281614086,0.929619932
"OCEL1_T cell, CD4, memory TREG",OCEL1,"T cell, CD4, memory TREG",Wald_ratio,1,-0.003601404,0.001038049,NA,NA,0.000521629,NA,NA,NA,NA,NA,NA,NA,-0.00563598,-0.001566828,0.996405073,0.994379872,0.998434399,0.041081634,Breast cancer,ieu-b-4810,"OCEL1_T cell, CD4, memory TREG_Breast cancer_ieu-b-4810",0.107052927,1
"PILRA_T cell, CD4, naive activated",PILRA,"T cell, CD4, naive activated",Wald_ratio,1,0.002810396,0.000733481,NA,NA,0.000127319,NA,NA,NA,NA,NA,NA,NA,0.001372773,0.004248018,1.002814349,1.001373716,1.004257054,0.018973055,Breast cancer,ieu-b-4810,"PILRA_T cell, CD4, naive activated_Breast cancer_ieu-b-4810",0.252533986,1
"PILRB_T cell, CD4, TH1",PILRB,"T cell, CD4, TH1",Wald_ratio,1,0.002611252,0.000681507,NA,NA,0.000127319,NA,NA,NA,NA,NA,NA,NA,0.001275499,0.003947005,1.002614664,1.001276313,1.003954805,0.018973055,Breast cancer,ieu-b-4810,"PILRB_T cell, CD4, TH1_Breast cancer_ieu-b-4810",0.2658444,1
"SNX9_NK cell, CD56dim CD16+",SNX9,"NK cell, CD56dim CD16+",Wald_ratio,1,-0.002884183,0.000832967,NA,NA,0.000535101,NA,NA,NA,NA,NA,NA,NA,-0.004516799,-0.001251567,0.997119972,0.995493387,0.998749216,0.041925463,Breast cancer,ieu-b-4810,"SNX9_NK cell, CD56dim CD16+_Breast cancer_ieu-b-4810",0.000431071,1
"RCCD1_T cell, CD4, TH2",RCCD1,"T cell, CD4, TH2",Wald_ratio,1,-0.004266335,0.00102647,NA,NA,3.23E-05,NA,NA,NA,NA,NA,NA,NA,-0.006278215,-0.002254454,0.995742753,0.993741452,0.997748085,0.014045516,Breast cancer,ieu-b-4810,"RCCD1_T cell, CD4, TH2_Breast cancer_ieu-b-4810",0.741910064,0.983341956
"RCCD1_T cell, CD4, TH1 TH17",RCCD1,"T cell, CD4, TH1 TH17",Wald_ratio,1,-0.004237832,0.001019612,NA,NA,3.23E-05,NA,NA,NA,NA,NA,NA,NA,-0.006236271,-0.002239392,0.995771135,0.993783135,0.997763113,0.014045516,Breast cancer,ieu-b-4810,"RCCD1_T cell, CD4, TH1 TH17_Breast cancer_ieu-b-4810",0.28660125,0.983341956
"PICK1_Monocyte, classical",PICK1,"Monocyte, classical",Wald_ratio,1,-0.003971347,0.000914823,NA,NA,1.42E-05,NA,NA,NA,NA,NA,NA,NA,-0.0057644,-0.002178294,0.996036528,0.994252182,0.997824076,0.008619277,Breast cancer,ieu-b-4810,"PICK1_Monocyte, classical_Breast cancer_ieu-b-4810",0.000817194,0.990580288
"STAG3L5P-PVRIG2P-PILRB_T cell, CD4, TH1",STAG3L5P-PVRIG2P-PILRB,"T cell, CD4, TH1",Wald_ratio,1,0.002853243,0.000778007,NA,NA,0.000245056,NA,NA,NA,NA,NA,NA,NA,0.001328348,0.004378137,1.002857317,1.001329231,1.004387735,0.023603892,Breast cancer,ieu-b-4810,"STAG3L5P-PVRIG2P-PILRB_T cell, CD4, TH1_Breast cancer_ieu-b-4810",0.265818961,1
"STAG3L5P_T cell, CD4, TH1 TH17",STAG3L5P,"T cell, CD4, TH1 TH17",Wald_ratio,1,0.00284554,0.000775907,NA,NA,0.000245056,NA,NA,NA,NA,NA,NA,NA,0.001324762,0.004366318,1.002849593,1.00132564,1.004375864,0.023603892,Breast cancer,ieu-b-4810,"STAG3L5P_T cell, CD4, TH1 TH17_Breast cancer_ieu-b-4810",0.25875079,1
"STAG3L5P_Monocyte, classical",STAG3L5P,"Monocyte, classical",Wald_ratio,1,0.0027632,0.000753455,NA,NA,0.000245056,NA,NA,NA,NA,NA,NA,NA,0.001286428,0.004239972,1.002767021,1.001287256,1.004248973,0.023603892,Breast cancer,ieu-b-4810,"STAG3L5P_Monocyte, classical_Breast cancer_ieu-b-4810",0.237520874,1
